index,docBlockId,siteName,siteUrl,sourceTitle,historicalState,priority,currentStatus,reviewUrl,publicPageUrl,loginMethod,emailVerification,notes
1,LncGd5NwxoDrZ6xzEKEcrlxknEh,saashunt.best,https://saashunt.best,saashunt.best（，已生成产品页（排期中））（gsc收录）,completed_public_page,4,,,,,,
2,AKbvd6hUwoWDG6xT1vJcIo8XnV8,devhub.best,https://devhub.best,devhub.best（，已生成产品页（排期中））（gsc收录）,completed_public_page,4,,,,,,
3,PGeMd9NGGos8i3xDNqscqGynnab,AlternativeTo,https://alternativeto.net/（gsc收录,AlternativeTo（，不收录简单套壳站） https://alternativeto.net/（gsc收录）,skip_not_fit,5,,,,,,
4,VmRadOHHkomkNmxyTIscei9lnkg,SaasHub,,SaasHub（）（gsc收录）,unprocessed,1,,,,,,
5,BHlNdM3dzo5FSExmOATcGFgyn2b,F6S,,F6S（）（gsc收录）,unprocessed,1,,,,,,
6,HaOydEZU3oWJT8xJdjrcJSajnFb,g2.com,https://g2.com,g2.com（）（gsc收录）,unprocessed,1,,,,,,
7,BSuAd1zEqoinqZxS3aEca552nug,crunchbase.com,https://crunchbase.com,crunchbase.com（）（gsc收录）,unprocessed,1,,,,,,
8,XPDHdbJXPofJSaxwMJXc7GGOnAF,toolpilot.ai,https://toolpilot.ai,toolpilot.ai（）（gsc收录）,unprocessed,1,,,,,,
9,NWr8dMlz8ocgYUxsN30cgZ3Wnxb,promoteproject.com,https://promoteproject.com,promoteproject.com（）（gsc收录）,unprocessed,1,,,,,,
10,XE1jdIFBno2CBbxsCN1cxQMxnYg,anyfp.com,https://anyfp.com,anyfp.com（）（gsc收录）,unprocessed,1,,,,,,
11,X0RidX4ebov7DuxS5Q0cOD68nng,thehackstack.com,https://thehackstack.com,thehackstack.com（核）（gsc收录）,needs_recheck,2,,,,,,
12,UOZHd9wUlod8g5xWXpycUAtHnc9,tools-ai.online,https://tools-ai.online,tools-ai.online（）（gsc收录）,unprocessed,1,,,,,,
13,NKKRdWHCZoBO7ox5Jw3c7UkmnOb,producthubx.com,https://producthubx.com,producthubx.com（）（gsc收录）,unprocessed,1,,,,,,
14,WruMdxQ1BoPtt3xnHeDcOucjnIf,devpost.com,https://devpost.com,devpost.com（）（gsc收录）,unprocessed,1,,,,,,
15,Hr3LdMuCyoDZTrxIC47c4JB1nzb,fazier.com,https://fazier.com,fazier.com（）（gsc收录）,unprocessed,1,,,,,,
16,I96tdpKCvoP7Yxxz8OGc6y1enHh,viesearch.com,https://viesearch.com,viesearch.com（）（gsc收录）,unprocessed,1,,,,,,
17,GYI4dra1uoUC0HxXUXmc9kSqnud,ainavtool.com,https://ainavtool.com,ainavtool.com（。待审核）（gsc收录）,submitted_pending,3,,,,,,
18,AuOxdFfiEoKdkYxEraWcRjNOnBc,fastlaunch.io,https://fastlaunch.io,fastlaunch.io（核）（gsc收录）,needs_recheck,2,,,,,,
19,FnFVd8B3moag9ZxraD1cUwwgnbN,curateclick.com,https://curateclick.com,curateclick.com（。待审核）（gsc收录）,submitted_pending,3,,,,,,
20,VA6odVMO2oH9r5xJrI5cQCWAnWh,aitoolfor.org,https://aitoolfor.org,aitoolfor.org（。待审核）（gsc收录）,submitted_pending,3,,,,,,
21,UwopdXi9noo5m4xF2l4cJmIlnrg,lionaibox.com,https://lionaibox.com,lionaibox.com（。待审核）（gsc收录）,submitted_pending,3,,,,,,
22,BcswdIK3yo51pKxHm3ycG94MnPc,aiyoubucuo.com,https://aiyoubucuo.com,aiyoubucuo.com（，gsc收录）,unprocessed,1,,,,,,
23,AursdGyNWot1iyxu060cUB1DnzK,vuink.com,https://vuink.com,vuink.com（),unprocessed,1,,,,,,
24,JOxNdiGvcoQMSixd2aJcA4jLnng,https://lovableapp.org/,https://lovableapp.org/（,https://lovableapp.org/（）,unprocessed,1,,,,,,
25,B0Y0dP05ooiv4OxyK3bctV10nDf,launchingnext.com,https://launchingnext.com,launchingnext.com（） （gsc未收录）,unprocessed,1,,,,,,
